S/No.,WRUA_NAME,SRO,Area,status,Basin (B),B_code,Areakm2,CentroidX,CentroidY,Subbasin
176,Wachoro,Thiba,103.8440018,Formed,TCA,20,103.84,37.343804,-0.804125,4BG
177,Rwanjoga,Thiba,150.3730011,Formed,TCA,20,150.42,37.777565,-0.562273,4EC
178,Kirwara,Thiba,102.5429993,Formed,TCA,20,102.53,37.28759,-0.696551,4BE
179,Kabusia /wango,Thiba,140.5200043,Formed,TCA,20,140.53,37.489547,-0.845363,4BG
180,Lower Thiba,Thiba,252.0809937,Formed,TCA,20,252.09,37.409949,-0.68575,4DA
181,Kiambere,Thiba,103.2549973,Not Formed,TCA,20,103.3,37.86272,-0.636835,4ED
182,Mugaka,Thiba,102.7340012,Formed,TCA,20,102.73,37.383214,-0.597079,4DB
183,Middle Thura,Thiba,104.7369995,Formed,TCA,20,104.77,37.792877,-0.640149,4ED
184,Upper Ena,Thiba,122.3909988,Formed,TCA,20,122.41,37.515722,-0.415601,4EC
185,Gangara,Thiba,64.1588974,Formed,TCA,20,64.18,37.719255,-0.633649,4ED
186,Honi,Upper_Tana,181.1999969,Formed,TCA,20,181.07,36.773019,-0.343538,4AB
187,Lower Chania,Upper_Tana,295.3479919,Formed,TCA,20,295.15,36.818981,-0.876199,4CA
188,Chania,Upper_Tana,277.6029968,Formed,TCA,20,277.41,36.819829,-0.446271,4AC
189,Upper Maragwa,Upper_Tana,226.3820038,Formed,TCA,20,226.25,36.884622,-0.727641,4BE
190,Chinga,Upper_Tana,107.8119965,Formed,TCA,20,107.75,36.874501,-0.568224,4AD
191,Lower Maragua,Upper_Tana,122.3570023,Formed,TCA,20,122.33,37.13928,-0.770594,4BE
192,Upper Gura,Upper_Tana,199.8099976,Formed,TCA,20,199.67,36.79885,-0.534979,4AD
193,Mid sagana(Hohwe),Upper_Tana,49.77180099,Formed,TCA,20,49.76,37.089229,-0.379983,4AA
194,Kabuku,Upper_Tana,192.2369995,Not Formed,TCA,20,192.17,37.047666,-0.927609,4CC
195,Kagumo,Upper_Tana,139.1929932,Formed,TCA,20,139.13,36.979358,-0.47183,4AC
196,Rongai,Upper_Tana,264.9299927,Formed,TCA,20,264.82,37.028969,-0.279488,4AB
197,Kayahwe,Upper_Tana,142.5050049,Formed,TCA,20,142.44,37.002455,-0.729594,4BE
198,Kiama,Upper_Tana,125.5550003,Formed,TCA,20,125.49,36.913237,-0.892437,4CB
199,Lower Mathioya,Upper_Tana,88.36959839,Formed,TCA,20,88.35,37.145573,-0.706872,4BD
200,Mwaniambogo,Upper_Tana,161.2649994,Formed,TCA,20,161.26,37.328907,-0.938872,4BG
201,Muringato,Upper_Tana,232.5500031,Formed,TCA,20,232.41,36.85524,-0.378114,4AB
202,North Mathioya,Upper_Tana,219.7429962,Formed,TCA,20,219.62,36.90469,-0.629168,4BD
203,Nairobi,Upper_Tana,113.564003,Formed,TCA,20,113.53,37.127174,-0.276471,4AA
204,Ragati,Upper_Tana,255.2559967,Formed,TCA,20,255.2,37.178616,-0.449658,4BC
205,Rwarai,Upper_Tana,150.8410034,Formed,TCA,20,150.79,37.062493,-0.619251,4BA
206,South Mathioya,Upper_Tana,237.8589935,Formed,TCA,20,237.74,36.921322,-0.672234,4BD
207,Saba,Upper_Tana,161.2389984,Formed,TCA,20,161.19,37.082875,-0.823706,4BF
208,Sagana,Upper_Tana,122.7249985,Formed,TCA,20,122.7,37.16246,-0.295179,4AA
209,Sasumua,Upper_Tana,230.4759979,Formed,TCA,20,230.27,36.663484,-0.735103,4CA
210,Lower Saba,Upper_Tana,229.5410004,Formed,TCA,20,229.48,37.143419,-0.860824,4BF
211,Thegu,Upper_Tana,157.0540009,Formed,TCA,20,157.01,37.143301,-0.285272,4AA
212,Thiha (lower sagana),Upper_Tana,146.772995,Not Formed,TCA,20,146.73,37.122011,-0.559807,4BA
213,Thika Upper,Upper_Tana,198.2200012,Formed,TCA,20,198.1,36.875184,-0.822664,4CB
214,Thika Mid,Upper_Tana,259.6140137,Formed,TCA,20,259.57,37.207485,-1.003704,4CC
215,Ndera,Upper_Tana,119.1709976,Not Formed,TCA,20,119.16,37.275914,-0.882113,4BG
216,Lower Thika,Upper_Tana,133.201004,Formed,TCA,20,133.2,37.411872,-0.937745,4CC
217,Gura,Upper_Tana,146.9360046,Formed,TCA,20,146.86,36.924383,-0.533604,4AD
218,Muthera,Upper_Tana,45.75189972,Formed,TCA,20,45.74,37.113265,-0.381139,4AA
219,"Thika, Muti, kaliala",Upper_Tana,212.0160065,Formed,TCA,20,212.02,37.403466,-1.04982,4CC
220,Meru National Park,Kathita Mutonga,1523.650024,Not Formed,TCA,20,1524.77,38.547432,0.15136,4GA
221,Lower Thangatha,Kathita Mutonga,257.9110107,Formed,TCA,20,258.06,38.113633,-0.044663,4FB
222,Upper Thangatha,Kathita Mutonga,201.0619965,Formed,TCA,20,201.15,37.923474,0.089251,4FB
223,Kithino,Kathita Mutonga,120.5270004,Formed,TCA,20,120.56,37.683885,-0.13581,4EA
224,Mutonga Kiamuga,Kathita Mutonga,135.5379944,Formed,TCA,20,135.55,37.502227,-0.137756,4EA
225,Mutonga KK,Kathita Mutonga,171.7140045,Not Formed,TCA,20,171.79,37.930664,-0.345708,4FA
226,Mutonga Kagaka,Kathita Mutonga,134.0509949,Formed,TCA,20,134.1,37.762967,-0.223319,4EA
227,Bwathonaro,Kathita Mutonga,381.5010071,Formed,TCA,20,381.7,38.057044,0.216515,4FB
228,Amuathi Bibi,Kathita Mutonga,611.6350098,Not Formed,TCA,20,612.03,38.249833,0.371374,4GA
229,Mariara,Kathita Mutonga,143.8890076,Formed,TCA,20,143.93,37.692487,-0.025527,4FA
230,Iraru,Kathita Mutonga,152.1759949,Formed,TCA,20,152.21,37.621266,-0.13694,4EA
231,Upper Ura,Kathita Mutonga,195.5980072,Formed,TCA,20,195.69,37.956739,0.141517,4FB
232,Kiolou,Kathita Mutonga,288.9060059,Not Formed,TCA,20,289.08,38.195187,0.062035,4FB
233,Ngakinya,Kathita Mutonga,166.0099945,Formed,TCA,20,166.05,37.651381,0.089328,4FA
234,Lower Thingithu,Kathita Mutonga,248.7559967,Formed,TCA,20,248.87,37.917172,-0.181837,4FA
235,Kuuru,Kathita Mutonga,107.7570038,Formed,TCA,20,107.8,37.813128,0.047139,4FA
236,Murera,Kathita Mutonga,372.4559937,Not Formed,TCA,20,372.67,38.156813,0.216206,4FB
237,Mutonga Kamatha,Kathita Mutonga,101.5319977,Not Formed,TCA,20,101.57,37.847972,-0.295356,4EA
238,Mubuura,Kathita Mutonga,289.2489929,Not Formed,TCA,20,289.41,38.10513,-0.178428,4FB
239,Upper Daregote,Kathita Mutonga,280.6419983,Not Formed,TCA,20,280.82,38.230299,0.31459,4GA
240,Upper Bisinadi,Kathita Mutonga,297.7690125,Not Formed,TCA,20,297.94,38.161748,0.299068,4GA
241,Upper Thanantu,Kathita Mutonga,156.5659943,Formed,TCA,20,156.63,37.854283,0.105066,4FB
242,Gachiege,Kathita Mutonga,114.1179962,Formed,TCA,20,114.15,37.666131,0.008627,4FA
243,Lower Thanantu,Kathita Mutonga,163.9250031,Formed,TCA,20,164.01,38.009467,-0.118033,4FA
244,Middle Kathita,Kathita Mutonga,174.9720001,Formed,TCA,20,175.05,37.887342,-0.072372,4FA
245,Mid Thingithu,Kathita Mutonga,140.052002,Not Formed,TCA,20,140.1,37.781738,-0.092637,4FA
246,Upper Thingithu,Kathita Mutonga,131.0879974,Formed,TCA,20,131.11,37.58211,-0.052456,4FA
247,Nithi,Kathita Mutonga,148.9920044,Formed,TCA,20,149.01,37.519779,-0.203361,4EB
248,North Mara,Kathita Mutonga,150.6199951,Formed,TCA,20,150.66,37.696444,-0.248675,4EB
249,Naka,Kathita Mutonga,100.848999,Formed,TCA,20,100.88,37.730425,-0.338898,4EB
250,Tungu,Kathita Mutonga,104.973999,Formed,TCA,20,105,37.642874,-0.289985,4EB
251,South Maara,Kathita Mutonga,134.1130066,Formed,TCA,20,134.14,37.610419,-0.227219,4EB
252,Ruguti,Kathita Mutonga,247.4080048,Formed,TCA,20,247.46,37.605058,-0.301282,4EB
253,Upper Thuci,Kathita Mutonga,205.4839935,Formed,TCA,20,205.51,37.528231,-0.323779,4EB
254,Lower Ura,Kathita Mutonga,340.9700012,Formed,TCA,20,341.17,38.156974,0.022087,4FB
255,Lower Thuci,Kathita Mutonga,109.5469971,Formed,TCA,20,109.58,37.771178,-0.415564,4EB
256,Luguso,Kathita Mutonga,184.7830048,Formed,TCA,20,184.79,37.439622,-0.028561,4FA
257,Upper Kathita,Kathita Mutonga,107.5019989,Formed,TCA,20,107.53,37.632983,0.046702,4FA
258,Lower Bwathonaro,Kathita Mutonga,142.0099945,Not Formed,TCA,20,142.11,38.383092,0.016268,4FB
