County,SubCounty,panel_date,Year,Month,Population_Density_per_SqKm,Total_Population,total_abstraction_m3_per_day,wrua_count,Mean_NDVI,Rainfall_mm,Rainfall_Anomaly_mm,Rainfall_Anomaly_Percent,conflict_onset,conflict_persistence,conflict_severity_weighted
Machakos,Matungulu,2005-02-01,2005,2,278,161557,10898.0,5.0,0.4568733899223263,22.30211669080736,-12.98698226627163,-36.96072895940671,False,1.6900585631023346,1.872516240237809
Machakos,Matungulu,2005-03-01,2005,3,278,161557,10898.0,5.0,0.4364237250730234,97.13259089532572,-14.119242330628952,-13.069650748704538,False,1.6303948359666383,1.8064112540238235
Machakos,Matungulu,2005-04-01,2005,4,278,161557,10898.0,5.0,0.5299578130030356,197.62819961457697,-20.546353240430623,-9.22323435052555,False,1.566792339530393,1.7359422714118138
Machakos,Matungulu,2005-05-01,2005,5,278,161557,10898.0,5.0,0.5192874628185985,118.55525131406225,37.51804143018829,45.71057607930127,False,1.5076049365592892,1.670365033024613
Machakos,Matungulu,2005-06-01,2005,6,278,161557,10898.0,5.0,0.5768097951877795,4.800358869107907,-5.0664830026999015,-52.63127710049376,False,1.4487925338887866,1.605203279738521
Machakos,Matungulu,2005-07-01,2005,7,278,161557,10898.0,5.0,0.3412879937721547,4.851662300754386,-1.6461059628770316,-43.20404031352368,False,1.3940627108220591,1.5445648588250653
Machakos,Matungulu,2005-08-01,2005,8,278,161557,10898.0,5.0,0.3504857035652701,2.9944630961189564,-3.695040066939659,-72.85231265008606,False,1.339679645664475,1.4843106315901473
Machakos,Matungulu,2005-09-01,2005,9,278,161557,10898.0,5.0,0.3073306813495783,0.6846537191197251,-4.416599930420312,-91.2614261381023,False,1.287418090359335,1.4264069510991444
Machakos,Matungulu,2005-10-01,2005,10,278,161557,10898.0,5.0,0.3303157773482424,35.22253973077217,-30.18750454416821,-46.15076385019,False,1.2387843745924927,1.372522769459098
Machakos,Matungulu,2005-11-01,2005,11,278,161557,10898.0,5.0,0.4205733847729263,140.5779100292048,-67.5359237481829,-32.3426394353048,False,1.1904587929406212,1.3189799879024875
Machakos,Matungulu,2005-12-01,2005,12,278,161557,10898.0,5.0,0.5085211579288016,16.46023753893843,-84.7186778289506,-83.74163783703452,False,1.1454878274076972,1.2691539847461248
Machakos,Matungulu,2006-01-01,2006,1,278,161557,10898.0,5.0,0.4171241977085581,11.781098242038617,-29.554804901713524,-71.27977275241443,False,1.1008017894902227,1.2196436698143414
Machakos,Matungulu,2006-02-01,2006,2,278,161557,10898.0,5.0,0.3240265324807935,27.875279959100148,-7.413818997978846,-21.091475862564124,False,1.0578589756707995,1.1720647763760141
Machakos,Matungulu,2006-03-01,2006,3,278,161557,10898.0,5.0,0.4823344901066596,117.99472450882324,6.742891282868599,6.406318919530455,False,1.0205136370828798,1.1306876581330263
Machakos,Matungulu,2006-04-01,2006,4,278,161557,10898.0,5.0,0.5854738820041808,251.026248369527,32.851695514519456,15.37047116033847,False,0.9807029031834309,1.0865789820255758
Machakos,Matungulu,2006-05-01,2006,5,278,161557,10898.0,5.0,0.6289909630930226,82.82583965745262,1.788629773578707,1.9436495335546395,False,0.9436557103543881,1.045532197173184
Machakos,Matungulu,2006-06-01,2006,6,278,161557,10898.0,5.0,0.5133437608927639,2.5139286729700405,-7.352913198837768,-78.0531764217042,False,0.9068432416009079,1.0047454770623703
Machakos,Matungulu,2006-07-01,2006,7,278,161557,10898.0,5.0,0.2826592683997962,2.722174985313671,-3.7755932783177446,-77.26483291593188,False,0.87258618339475,0.9667900480409924
Machakos,Matungulu,2006-08-01,2006,8,278,161557,10898.0,5.0,0.352238436034593,6.229612962055879,-0.4598902010027389,-17.363145882280747,False,0.8385461714937206,0.9290750975095967
Machakos,Matungulu,2006-09-01,2006,9,278,161557,10898.0,5.0,0.3120340665579016,5.776565048864852,0.6753113993248161,-4.620122230595725,False,0.8058340770319911,0.8928314255629032
Machakos,Matungulu,2006-10-01,2006,10,278,161557,10898.0,5.0,0.3055911035921481,42.19587596338786,-23.214168311552523,-35.96573719022045,False,0.7753927575017746,0.859103680004806
Machakos,Matungulu,2006-11-01,2006,11,278,161557,10898.0,5.0,0.4885125004238841,380.4842149534363,172.37038117604857,83.17312108931421,False,0.7451443084710477,0.825589627126029
Machakos,Matungulu,2006-12-01,2006,12,278,161557,10898.0,5.0,0.6697616997756447,217.4663452721665,116.28742990427746,115.047743016635,False,0.7169956155368462,0.7944020187132144
Machakos,Matungulu,2007-01-01,2007,1,278,161557,10898.0,5.0,0.6710464196377256,29.8663402834156,-11.469562860336527,-27.81515216278389,False,0.6890252674493852,0.7634120091464843
Machakos,Matungulu,2007-02-01,2007,2,278,161557,10898.0,5.0,0.5123235326821632,70.44078588789436,35.151686930815366,99.71997945744462,False,0.6621460562603667,0.7336309349428616
Machakos,Matungulu,2007-03-01,2007,3,278,161557,10898.0,5.0,0.4545396346729731,43.7303974288764,-67.52143579707828,-60.66036723062971,True,0.6387704747940197,0.7077317401597004
Machakos,Matungulu,2007-04-01,2007,4,278,161557,10898.0,5.0,0.529349445455486,182.519608794464,-35.65494406054363,-16.212922699917254,False,1.5885063366593928,0.6801227803615438
Machakos,Matungulu,2007-05-01,2007,5,278,161557,10898.0,5.0,0.6438771223803467,69.73820624158083,-11.299003642293098,-14.6978080631904,False,1.5284986621910637,0.6544303512785987
Machakos,Matungulu,2007-06-01,2007,6,278,161557,10898.0,5.0,0.5434604282292715,9.549958075927162,-0.3168837958806463,2.766753053192621,False,1.4688711851099219,0.6289007046146421
Machakos,Matungulu,2007-07-01,2007,7,278,161557,10898.0,5.0,0.3478556625207705,10.68503226883812,4.187264005206703,167.29667243075235,False,1.4133828676397193,0.6051432490197324
Machakos,Matungulu,2007-08-01,2007,8,278,161557,10898.0,5.0,0.4176511952473118,5.985771224297336,-0.7037319387612806,-24.50050683480918,False,1.3582461137571493,0.581536316214173
Machakos,Matungulu,2007-09-01,2007,9,278,161557,10898.0,5.0,0.3581977226038221,6.116821777608783,1.0155681280687474,1.008084197117169,False,1.3052602714911778,0.5588503013522395
Machakos,Matungulu,2007-10-01,2007,10,278,161557,10898.0,5.0,0.3466046974684618,56.04753125349307,-9.362513021447304,-14.647725363233896,False,1.2559525465797348,0.5377390812166012
Machakos,Matungulu,2007-11-01,2007,11,278,161557,10898.0,5.0,0.4697471506225127,118.48461060862871,-89.62922316875897,-43.07319618788704,False,1.2069572261789745,0.5167616178180306
Machakos,Matungulu,2007-12-01,2007,12,278,161557,10898.0,5.0,0.6089118558067027,46.45220786974489,-54.726707498144144,-54.01149202741379,False,1.1613630131410473,0.49724034665649125
Machakos,Matungulu,2008-01-01,2008,1,278,161557,10898.0,5.0,0.5429844049112738,58.87258227947291,17.53667913572078,42.72153678382029,False,1.1160576764980394,0.47784275861308556
Machakos,Matungulu,2008-02-01,2008,2,278,161557,10898.0,5.0,0.4911565508553667,26.46639615145459,-8.822702805624411,-24.67894448606128,False,1.07251972309792,0.4592018799244853
Machakos,Matungulu,2008-03-01,2008,3,278,161557,10898.0,5.0,0.4391138991772256,169.0130155179231,57.76118229196846,51.44079618152565,False,1.033329580123644,0.4424225266494557
Machakos,Matungulu,2008-04-01,2008,4,278,161557,10898.0,5.0,0.517098125261918,129.47612821820036,-88.69842463680722,-40.72248981374173,False,0.9930188900457311,0.42516340845686573
Machakos,Matungulu,2008-05-01,2008,5,278,161557,10898.0,5.0,0.5254059617093827,36.351422957514025,-44.68578692635988,-55.2201264057372,False,0.9555064464881685,0.40910236619235796
Machakos,Matungulu,2008-06-01,2008,6,278,161557,10898.0,5.0,0.4391064725049153,5.771466263140603,-4.095375608667205,-40.7959571370124,False,0.9182316747476522,0.39314308368372436
Machakos,Matungulu,2008-07-01,2008,7,278,161557,10898.0,5.0,0.3815386963096372,5.24115319052999,-1.2566150731014265,-51.75749380734316,False,0.8835444052334227,0.3782916464305493
Machakos,Matungulu,2008-08-01,2008,8,278,161557,10898.0,5.0,0.3032040287788761,2.424243308496364,-4.265259854562252,-77.41767727555495,False,0.8490769077625996,0.36353430510243145
Machakos,Matungulu,2008-09-01,2008,9,278,161557,10898.0,5.0,0.3046519215222811,5.169735186219095,0.0684815366790591,-14.562562637577315,False,0.8159540041513089,0.3493526548452889
Machakos,Matungulu,2008-10-01,2008,10,278,161557,10898.0,5.0,0.3447434580828236,64.58914165500025,-0.8209026199401499,-0.9591205621299552,False,0.7851303926036137,0.33615545197438995
Machakos,Matungulu,2008-11-01,2008,11,278,161557,10898.0,5.0,0.5039469017975599,171.56124194660248,-36.55259183078524,-17.60840046741571,False,0.7545020736860353,0.32304186410930713
Machakos,Matungulu,2008-12-01,2008,12,278,161557,10898.0,5.0,0.4687816522001968,37.89734381938836,-63.28157154850069,-62.448655030514,False,0.7259998802867661,0.31083858196069464
Machakos,Matungulu,2009-01-01,2009,1,278,161557,10898.0,5.0,0.4251595073445955,37.993689549077175,-3.34221359467496,-8.467838997647595,False,0.6976782714469804,0.29871261752234357
