Record_ID,geo_county,geo_subcounty
KE_LWC_199,Machakos,Mavoko
KE_LWC_207,Machakos,Machakos Town
KEN-MCK-213,Machakos,Mavoko
KEN-MCK-214,Machakos,Mavoko
KE_LWC_212,Nairobi,Embakasi East
KE_LWC_215,Nairobi,Embakasi East
KE_LWC_216,Machakos,Yatta
KE_LWC_219,Machakos,Kathiani
KE_LWC_223,Machakos,Yatta
KEN-MCK-216,Machakos,Mavoko
KEN-MCK-217,Machakos,Mavoko
KEN-MCK-218,Machakos,Mavoko
KE_LWC_227,Machakos,Kangundo
KE_LWC_233,Machakos,Yatta
KE_LWC_236,Nairobi,Embakasi South
KE_LWC_241,Machakos,Kathiani
KEN-MCK-220,Machakos,Mavoko
KE_LWC_246,Machakos,Mwala
KE_LWC_248,Machakos,Mavoko
KE_LWC_255,Machakos,Mavoko
KEN-MCK-221,Machakos,Mavoko
KEN-MCK-222,Machakos,Mavoko
KEN-MCK-223,Machakos,Mavoko
KEN-MCK-224,Machakos,Mavoko
KEN-MCK-225,Machakos,Mavoko
KE_LWC_260,Machakos,Yatta
KE_LWC_264,Machakos,Kathiani
KE_LWC_275,Machakos,Mwala
KE_LWC_282,Machakos,Mavoko
KEN-MCK-226,Machakos,Mavoko
KE_LWC_284,Machakos,Mavoko
KE_LWC_289,Machakos,Yatta
KE_LWC_298,Machakos,Mavoko
KEN-MCK-227,Machakos,Mavoko
KE_LWC_300,Machakos,Yatta
KE_LWC_317,Machakos,Mwala
KE_LWC_320,Machakos,Yatta
KE_LWC_325,Machakos,Kathiani
MAC-WAT-001,Machakos,Masinga
MAC-LND-002,Machakos,Mavoko
MAC-WAT-003,Machakos,Mwala
MAC-LND-004,Machakos,Mavoko
MAC-LND-006,Machakos,Mavoko
MAC-LND-008,Machakos,Machakos Town
MAC-WAT-009,Machakos,Yatta
MAC-LND-010,Machakos,Machakos Town
MAC-WAT-013,Machakos,Mavoko
MAC-LND-014,Nairobi,Langata
MAC-WAT-015,Machakos,Mwala
MAC-LND-016,Machakos,Mavoko
MAC-WAT-017,Machakos,Kangundo
MAC-LND-018,Machakos,Mavoko
MAC-WAT-019,Machakos,Yatta
MAC-LND-020,Machakos,Mavoko
MAC-WAT-021,Machakos,Kathiani
MAC-WAT-023,Machakos,Machakos Town
MAC-LND-024,Machakos,Mavoko
MAC-WAT-025,Machakos,Masinga
MAC-LND-026,Machakos,Mavoko
MAC-WAT-027,Machakos,Mwala
MAC-WAT-029,Machakos,Yatta
MAC-LND-030,Nairobi,Langata
MAC-LND-032,Machakos,Kathiani
MAC-LND-034,Machakos,Mavoko
MAC-WAT-035,Machakos,Mavoko
MAC-LND-036,Machakos,Yatta
MAC-WAT-037,Machakos,Yatta
MAC-LND-038,Nairobi,Langata
MAC-WAT-039,Machakos,Mavoko
MAC-LND-040,Machakos,Mavoko
MAC-LND-042,Machakos,Mavoko
MAC-WAT-043,Machakos,Machakos Town
MAC-LND-044,Machakos,Mavoko
MAC-WAT-047,Machakos,Yatta
KEN-MCK-018,Machakos,Machakos Town
NBI-008,Machakos,Mavoko
NBI-017,Nairobi,Embakasi South
KEN-MCK-077,Machakos,Yatta
KEN-NBI-014,Nairobi,Langata
KEN-NBI-016,Nairobi,Kibra
KEN-NBI-017,Nairobi,Langata
KEN-NBI-024,Nairobi,Kibra
KEN-NBI-029,Nairobi,Langata
KEN-NBI-043,Nairobi,Langata
KEN-NBI-052,Nairobi,Langata
KEN-NBI-057,Nairobi,Langata
KEN-NBI-061,Nairobi,Kibra
NBI-001,Nairobi,Langata
NBI-002,Nairobi,Langata
KEN-NBI-043-B,Nairobi,Langata
KEN-NBI-047-B,Nairobi,Langata
KEN-NBI-068,Nairobi,Langata
